name,collection_date,source,cluster
NSW-0004,2013-02-18,NA,NA
NSW-0020,2016-11-19,NA,NA
NSW-0029,2017-01-13,NA,NA
NSW-0042,2017-02-28,NA,NA
NSW-0051,2017-11-20,NA,Clust-01
NSW-0054,2017-12-23,NA,NA
NSW-0056,2017-12-31,NA,Clust-01
NSW-0061,2018-01-26,NA,Clust-01
NSW-0063,2018-01-29,NA,Clust-01
NSW-0067,2018-02-15,NA,Clust-01
NSW-0075,2018-03-05,NA,Clust-02
NSW-0081,2018-03-22,NA,Clust-02
NSW-0083,2018-03-24,NA,Clust-02
NSW-0095,2018-04-08,NA,Clust-01
NSW-0125,2019-09-20,NA,Clust-03
NSW-0139,2019-11-21,NA,Clust-03
NSW-0171,2021-04-04,NA,Clust-03
NSW-0201,2022-04-08,NA,NA
NSW-0287,2023-02-17,NA,NA
NSW-0289,2023-03-23,Clinical,Clust-04
NSW-0304,2023-08-26,Clinical,Clust-04
NSW-0305,2023-08-28,Clinical,Clust-04
NSW-0306,2023-08-30,Clinical,Clust-05
NSW-0309,2023-09-13,Environmental,Clust-05
NSW-0310,2023-09-15,Environmental,Clust-05
NSW-0313,2023-09-24,Environmental,Clust-05
NSW-0314,2023-09-25,Environmental,Clust-05
NSW-0315,2023-09-27,Environmental,Clust-05
NSW-0317,2023-09-28,Environmental,Clust-04
NSW-0318,2023-09-30,Environmental,Clust-05
NSW-0319,2023-10-03,Environmental,Clust-04
NSW-0320,2023-10-03,Environmental,Clust-05
NSW-0322,2023-10-04,Environmental,Clust-05
NSW-0323,2023-10-07,Environmental,Clust-04
NSW-0324,2023-10-07,Environmental,Clust-04
NSW-0325,2023-10-07,Environmental,Clust-04
NSW-0326,2023-10-09,Environmental,Clust-05
NSW-0327,2023-10-18,Environmental,Clust-05
NSW-0328,2023-10-18,Environmental,Clust-04
NSW-0329,2023-10-21,Environmental,Clust-04
NSW-0330,2023-10-25,Environmental,Clust-04
NSW-0331,2023-10-26,Environmental,Clust-05
NSW-0333,2023-12-11,NA,NA
NSW-0356,NA,NA,NA
NSW-0378,NA,NA,NA
NSW-0403,NA,NA,Clust-03
NSW-0405,NA,NA,Clust-03
NSW-0406,NA,NA,Clust-03
NSW-0407,NA,NA,NA
NSW-0441,NA,Environmental,Clust-04
